ID,name,brand,category,subcategory,subsubcategory,price,ingredients,no_microplastics,microplastics
1,4ward Sprchový gel Fresh mint 50ml,4ward ,Na cesty,Tìlová kosmetika na cesty,,19.9,"Aqua,Sodium laureth sulfate,Sodium chloride,Cocamide DEA,Cocamidopropyl betaine,Glycerin,Parfum,Panthenol,Polyquaternium-7,2-bromo-2-nitropropane-1,3-diol,Citric acid,C.I. 42090,C.I. 19140",0,[]
2,Ameté Kondicionér Repair 50ml,Ameté ,Na cesty,Vlasová péèe na cesty,,19.9,"Aqua,Polyquaternium-37&propylene glycol dicyprylate/dicaprate&PPG-1-trideceth-6,Polyquaternium-7,Parfum,C15-19 alkane&diphenyl dimethicone,Monopropylenglycol,Panthenol,2-bromo-2-nitropropane-1,3-diol,Citric acid,C.I. 18050,Citronellol,Hexyl cinnamal,Limonene,Linalool",0,[]
3,Ameté Odlakovaè na nehty 50ml,Ameté ,Na cesty,Ostatní cestovní potøeby,,19.9,"Ethyl acetate,Alcohol denat.,Aqua,Panthenol,Tocopheryl acetate,CI 17200",0,[]
4,Ameté Sprchový gel Cream Coco 50ml,Ameté ,Na cesty,Tìlová kosmetika na cesty,,19.9,"Aqua,Sodium laureth sulfate,Sodium chloride,Cocamide DEA,Cocamidopropyl betaine,Glycerin,Parfum,Panthenol,Styrene/acrylates copolymer,2-bromo-2-nitropropane-1,3-diol,Citric acid,Polyquaternium-7,Benzyl benzoate,Coumarin",1,['styrene/acrylates copolymer']
5,Ameté Šampon Repair 50ml,Ameté ,Na cesty,Vlasová péèe na cesty,,19.9,"Aqua,Sodium laureth sulfate,Cocamidopropyl betaine,Sodium chloride,Cocamide DEA,Lauryl glucoside,PEG-7 glyceryl cocoate,Parfum,Styrene/acrylates copolymer,Panthenol,Allantoin,C15-19 alkane&diphenyl dimethicone,2-bromo-2-nitropropane-1,3-diol,Citric acid,Isopropyl myristate,Ethyl linoleate,Tocopherol acetate,Helianthus annus (sunflower) seed oil,Retinyl palmitate,Retinyl acetate,Butylhydroxytoluol,C.I. 18050,Citronellol,Hexyl cinnamal,Limonene,Linalool",1,['styrene/acrylates copolymer']
6,Ameté Šampon Volume 50ml,Ameté ,Na cesty,Vlasová péèe na cesty,,19.9,"Aqua,Sodium laureth sulfate,Cocamidopropyl betaine,Sodium chloride,Cocamide DEA,Lauryl glucoside,PEG-7 glyceryl cocoate,Parfum,Styrene/acrylates copolymer,Panthenol,Allantoin,Amodimethicone,Cetrimonium chloride,Trideceth-10,2-bromo-2-nitropropane-1,3-diol,Citric acid,Isopropyl myristate,Ethyl linoleate,Tocopherol acetate,Helianthus annus (sunflower) seed oil,Retinyl palmitate,Retinyl acetate,Butylhydroxytoluol,Hexyl cinnamal,Butylphenyl methylpropional,Benzyl salicilate",1,['styrene/acrylates copolymer']
7,"Aussie Hydrate Balzám 90ml, Hydrataèní Balzám",Aussie ,Na cesty,Vlasová péèe na cesty,,69.9,"Aqua,Cetyl Alcohol,Stearamidopropyl Dimethylamine,Stearyl Alcohol,Quaternium-18,Benzyl Alcohol,Hydroxypropyl Guar,Cetearyl Alcohol,Parfum,Bis-Aminopropyl Dimethicone,Glyceryl Stearate,Polysorbate 60,Citric Acid,EDTA,Limonene,Oleyl Alcohol,Magnesium Nitrate,Aloe Barbadensis Leaf Juice,Macadamia Ternifolia Seed Oil,CI 19140,Methylchloroisothiazolinone,Magnesium Chloride,Methylisothiazolinone,CI 17200",0,[]
8,Chilly Intima Fresh gel pro intimní hygienu 50ml,Chilly ,Na cesty,Tìlová kosmetika na cesty,,34.9,"Aqua,Sodium laureth sulfate,Cocamidopropyl betaine,Sodium chloride,Peg-40 Hydrogenated castor oil,Menthol,Lactic acid,Triclosan,Parfum,Citronellyl methylcrotonate,DMDM Hydantoin,CI 19140,CI 42051",0,[]
9,Dixi Sprchový gel mátový 10g,Dixi ,Na cesty,Tìlová kosmetika na cesty,,4.9,"Aqua,Sodium laureth sulfate,Cocamidopropyl betaine,Sodium chloride,Cocamide DEA,Propylene glycol,Parfum,Panthenol,Methylchloroisothiazolinone,Methylisothiazolinone,2-bromo-2-nitropropane-1,3-diol,Menthae piperita,Citric acid,Limonene,CI 42090,CI 14720",0,[]
10,Dixi Sprchový gel s èajovníkovým olejem 10g,Dixi ,Na cesty,Tìlová kosmetika na cesty,,4.9,"Aqua,Sodium laureth sulfate,Cocamidopropyl betaine,Sodium chloride,Cocamide DEA,Propylyne glycol,Parfum,Panthenol,Methylchloroisothiazolinone,Methylisothiazolinone,2-bromo-2-nitropropane-1,3-diol,Melaleuca alternifolia,Citric acid,Hexyl cinnamal,Butylphenyl methylpropional,Limonene,Hydroxycitronellal,Geraniol,Linalool,CI 19140,CI 42090,CI 15985,CI 28440,CI 14720",0,[]
