productID,microplasticID
1,0
2,0
3,0
4,16
5,16
6,16
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,19
16,16
17,0
18,0
19,0
20,29
21,0
22,63
23,0
24,0
25,0
26,0
27,0
28,0
29,115
29,40
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,22
59,29
60,1
60,68
61,1
61,68
62,1
62,68
63,1
63,68
64,6
64,69
65,6
65,69
66,6
66,69
67,6
67,69
68,6
68,69
69,6
69,69
70,29
70,16
71,29
72,29
72,16
73,29
74,29
74,16
75,29
75,16
76,29
77,29
77,16
78,29
78,16
79,22
79,29
79,16
80,29
80,16
81,29
81,16
82,16
82,29
83,29
83,16
84,29
84,16
85,29
85,16
86,29
86,16
87,29
87,16
88,29
88,16
89,29
90,13
91,13
92,13
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,13
107,6
107,69
107,13
108,6
108,69
108,13
109,6
109,69
109,13
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,6
118,0
119,1
119,68
120,1
120,68
121,1
121,6
122,1
122,6
123,1
123,6
124,13
125,1
126,6
126,7
127,6
127,7
128,6
128,7
129,13
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,13
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,115
153,68
154,115
154,68
155,115
155,68
156,115
156,68
157,64
157,13
157,1
158,0
159,14
160,0
161,0
162,0
163,13
163,13
163,13
164,0
165,22
165,29
166,0
167,0
168,0
169,0
170,0
171,12
172,0
173,0
174,0
175,0
176,0
177,0
178,29
179,29
180,29
181,29
182,29
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,15
190,39
191,29
192,29
192,39
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,13
210,0
211,0
212,0
213,29
214,18
215,0
216,0
217,29
217,16
218,29
218,16
219,29
219,16
220,29
220,16
221,29
